timestamp,elapsed_s,power_w,hotspot_temp_c,mem_temp_c,edge_temp_c
1790200675.3914,0.0001,67.0,58.0,62.0,48.0
1790200675.6415,0.2502,26.0,52.0,58.0,48.0
1790200675.8916,0.5003,15.0,51.0,56.0,47.0
1790200676.1416,0.7503,314.0,72.0,59.0,47.0
1790200676.3917,1.0004,299.0,77.0,62.0,48.0
1790200676.6418,1.2505,299.0,78.0,62.0,49.0
1790200676.8919,1.5006,300.0,78.0,62.0,49.0
1790200677.1419,1.7507,298.0,79.0,62.0,49.0
1790200677.3921,2.0008,300.0,80.0,62.0,49.0
1790200677.6421,2.2508,300.0,80.0,62.0,49.0
1790200677.8922,2.5009,300.0,81.0,62.0,49.0
1790200678.1423,2.751,299.0,81.0,62.0,50.0
1790200678.3924,3.0011,299.0,81.0,62.0,50.0
1790200678.6425,3.2512,299.0,80.0,62.0,50.0
1790200678.8925,3.5013,284.0,78.0,63.0,50.0
1790200679.1426,3.7513,281.0,76.0,65.0,50.0
1790200679.3927,4.0014,281.0,76.0,66.0,50.0
1790200679.6428,4.2515,282.0,76.0,66.0,50.0
1790200679.8929,4.5016,283.0,76.0,66.0,50.0
1790200680.143,4.7517,285.0,77.0,66.0,51.0
1790200680.3931,5.0018,289.0,77.0,66.0,51.0
1790200680.6432,5.2519,295.0,78.0,66.0,51.0
1790200680.8932,5.502,311.0,80.0,68.0,51.0
1790200681.1433,5.7521,299.0,79.0,68.0,51.0
1790200681.3934,6.0021,300.0,79.0,68.0,51.0
1790200681.6435,6.2522,299.0,79.0,68.0,51.0
1790200681.8936,6.5023,300.0,79.0,68.0,51.0
1790200682.1437,6.7524,299.0,80.0,68.0,52.0
1790200682.3938,7.0025,300.0,80.0,68.0,52.0
1790200682.6439,7.2526,299.0,80.0,68.0,52.0
1790200682.8939,7.5027,300.0,80.0,68.0,52.0
1790200683.144,7.7527,299.0,80.0,68.0,52.0
1790200683.3941,8.0028,300.0,80.0,68.0,52.0
1790200683.6442,8.2529,305.0,82.0,69.0,52.0
1790200683.8943,8.503,299.0,83.0,67.0,53.0
1790200684.1443,8.7531,300.0,84.0,67.0,53.0
1790200684.3944,9.0032,299.0,84.0,67.0,53.0
1790200684.6445,9.2533,299.0,84.0,66.0,53.0
1790200684.8946,9.5033,301.0,84.0,66.0,53.0
1790200685.1447,9.7534,300.0,85.0,66.0,53.0
1790200685.3948,10.0035,300.0,85.0,66.0,53.0
1790200685.6449,10.2536,300.0,85.0,66.0,53.0
1790200685.895,10.5037,299.0,85.0,66.0,54.0
1790200686.1451,10.7538,292.0,85.0,66.0,54.0
1790200686.3951,11.0039,280.0,80.0,68.0,54.0
1790200686.6452,11.254,283.0,80.0,70.0,54.0
1790200686.8953,11.5041,282.0,80.0,70.0,54.0
1790200687.1454,11.7541,286.0,80.0,70.0,54.0
1790200687.3955,12.0042,286.0,80.0,70.0,54.0
1790200687.6456,12.2543,291.0,81.0,70.0,54.0
1790200687.8956,12.5044,296.0,82.0,70.0,54.0
1790200688.1457,12.7544,301.0,83.0,70.0,54.0
1790200688.3958,13.0045,299.0,83.0,70.0,55.0
1790200688.6458,13.2546,300.0,83.0,72.0,55.0
