timestamp,elapsed_s,power_w,hotspot_temp_c,mem_temp_c,edge_temp_c
1790200256.8935,0.0001,147.0,78.0,87.0,63.0
1790200257.1437,0.2502,39.0,68.0,82.0,62.0
1790200257.3938,0.5003,20.0,66.0,79.0,62.0
1790200257.6439,0.7504,313.0,85.0,82.0,62.0
1790200257.8939,1.0005,306.0,91.0,84.0,62.0
1790200258.144,1.2506,304.0,91.0,84.0,62.0
1790200258.3941,1.5007,300.0,91.0,84.0,62.0
1790200258.6442,1.7508,296.0,91.0,84.0,62.0
1790200258.8943,2.0009,301.0,92.0,84.0,62.0
1790200259.1444,2.251,300.0,92.0,84.0,62.0
1790200259.3944,2.501,300.0,92.0,84.0,62.0
1790200259.6445,2.7511,299.0,92.0,84.0,62.0
1790200259.8946,3.0012,299.0,92.0,84.0,62.0
1790200260.1447,3.2513,293.0,90.0,84.0,62.0
1790200260.3948,3.5014,300.0,90.0,86.0,62.0
1790200260.6449,3.7515,300.0,90.0,86.0,62.0
1790200260.8949,4.0015,310.0,89.0,86.0,62.0
1790200261.145,4.2516,300.0,89.0,86.0,62.0
1790200261.3951,4.5017,299.0,89.0,87.0,62.0
1790200261.6452,4.7518,300.0,89.0,87.0,62.0
1790200261.8953,5.0019,299.0,89.0,87.0,62.0
1790200262.1454,5.2519,299.0,89.0,88.0,62.0
1790200262.3955,5.502,300.0,89.0,88.0,62.0
1790200262.6455,5.7521,298.0,89.0,88.0,62.0
1790200262.8956,6.0022,300.0,89.0,88.0,62.0
1790200263.1457,6.2523,300.0,89.0,88.0,62.0
1790200263.3958,6.5024,298.0,89.0,88.0,62.0
1790200263.6459,6.7525,300.0,89.0,88.0,62.0
1790200263.8959,7.0025,300.0,89.0,88.0,62.0
1790200264.146,7.2526,299.0,89.0,88.0,62.0
1790200264.3961,7.5027,300.0,89.0,88.0,62.0
1790200264.6462,7.7528,299.0,89.0,88.0,62.0
1790200264.8963,8.0029,300.0,89.0,88.0,62.0
1790200265.1464,8.2529,300.0,89.0,88.0,63.0
1790200265.3965,8.503,299.0,89.0,88.0,63.0
1790200265.6465,8.7531,300.0,89.0,88.0,63.0
1790200265.8966,9.0032,300.0,89.0,88.0,63.0
1790200266.1467,9.2533,298.0,89.0,88.0,63.0
1790200266.3968,9.5034,300.0,89.0,88.0,63.0
1790200266.6468,9.7534,299.0,89.0,88.0,63.0
1790200266.8969,10.0035,300.0,89.0,88.0,63.0
1790200267.147,10.2536,299.0,89.0,88.0,63.0
1790200267.3971,10.5037,299.0,89.0,88.0,63.0
1790200267.6472,10.7538,300.0,89.0,88.0,63.0
1790200267.8973,11.0039,300.0,89.0,88.0,63.0
1790200268.1474,11.254,299.0,89.0,88.0,63.0
1790200268.3975,11.5041,300.0,89.0,88.0,63.0
1790200268.6476,11.7541,300.0,89.0,88.0,63.0
1790200268.8976,12.0042,299.0,89.0,88.0,63.0
1790200269.1477,12.2543,300.0,89.0,88.0,63.0
1790200269.3978,12.5044,298.0,89.0,88.0,63.0
1790200269.6479,12.7545,300.0,89.0,88.0,63.0
1790200269.898,13.0046,300.0,90.0,88.0,62.0
1790200270.1481,13.2546,298.0,89.0,88.0,63.0
1790200270.3982,13.5047,300.0,89.0,88.0,63.0
1790200270.6482,13.7548,300.0,89.0,88.0,63.0
1790200270.8983,14.0049,298.0,89.0,88.0,63.0
1790200271.1484,14.255,300.0,89.0,88.0,63.0
1790200271.3985,14.505,300.0,89.0,88.0,63.0
1790200271.6485,14.7551,299.0,89.0,88.0,63.0
1790200271.8986,15.0052,300.0,89.0,88.0,63.0
1790200272.1487,15.2553,299.0,89.0,88.0,63.0
1790200272.3988,15.5053,300.0,89.0,88.0,63.0
1790200272.6488,15.7554,300.0,89.0,88.0,63.0
1790200272.8989,16.0055,299.0,89.0,88.0,63.0
1790200273.149,16.2556,300.0,89.0,88.0,63.0
1790200273.3991,16.5057,300.0,89.0,88.0,63.0
1790200273.6492,16.7558,298.0,89.0,88.0,63.0
1790200273.8993,17.0059,300.0,89.0,88.0,63.0
1790200274.1493,17.2559,300.0,90.0,88.0,63.0
1790200274.3994,17.506,299.0,89.0,88.0,63.0
1790200274.6495,17.7561,300.0,89.0,88.0,63.0
1790200274.8995,18.0061,299.0,90.0,88.0,63.0
1790200275.1496,18.2562,300.0,89.0,88.0,63.0
1790200275.3997,18.5063,299.0,89.0,88.0,63.0
1790200275.6498,18.7563,299.0,90.0,88.0,63.0
1790200275.8998,19.0064,290.0,89.0,88.0,63.0
1790200276.1499,19.2565,300.0,89.0,88.0,63.0
1790200276.4,19.5066,299.0,89.0,88.0,63.0
1790200276.6501,19.7567,300.0,89.0,88.0,63.0
1790200276.9002,20.0068,300.0,90.0,88.0,63.0
1790200277.1502,20.2568,299.0,89.0,88.0,63.0
1790200277.4003,20.5069,300.0,90.0,88.0,63.0
1790200277.6504,20.757,299.0,90.0,88.0,63.0
1790200277.9005,21.0071,300.0,89.0,88.0,63.0
1790200278.1506,21.2572,300.0,90.0,88.0,63.0
1790200278.4008,21.5074,299.0,90.0,88.0,63.0
1790200278.6509,21.7575,300.0,89.0,88.0,63.0
1790200278.901,22.0076,300.0,90.0,88.0,63.0
1790200279.1511,22.2577,298.0,89.0,88.0,63.0
1790200279.4012,22.5078,300.0,90.0,88.0,63.0
1790200279.6513,22.7579,300.0,90.0,88.0,63.0
1790200279.9014,23.0079,298.0,89.0,88.0,63.0
1790200280.1514,23.258,301.0,90.0,88.0,63.0
1790200280.4015,23.5081,300.0,90.0,88.0,63.0
1790200280.6516,23.7582,299.0,89.0,88.0,63.0
1790200280.9017,24.0083,300.0,90.0,88.0,63.0
1790200281.1518,24.2583,299.0,90.0,88.0,63.0
1790200281.4018,24.5084,299.0,90.0,88.0,63.0
1790200281.6519,24.7585,300.0,89.0,88.0,63.0
1790200281.902,25.0086,298.0,89.0,88.0,63.0
1790200282.1521,25.2586,300.0,90.0,88.0,63.0
1790200282.4021,25.5087,300.0,90.0,88.0,63.0
1790200282.6522,25.7588,298.0,90.0,88.0,63.0
1790200282.9023,26.0089,300.0,90.0,88.0,63.0
1790200283.1524,26.2589,300.0,90.0,88.0,63.0
1790200283.4025,26.509,299.0,89.0,89.0,63.0
1790200283.6526,26.7591,300.0,90.0,88.0,63.0
1790200283.9026,27.0092,300.0,90.0,88.0,63.0
1790200284.1527,27.2593,299.0,90.0,88.0,63.0
1790200284.4028,27.5094,300.0,90.0,89.0,63.0
1790200284.6529,27.7594,299.0,90.0,88.0,63.0
1790200284.903,28.0095,299.0,90.0,88.0,63.0
1790200285.1531,28.2596,300.0,90.0,88.0,63.0
1790200285.4047,28.5113,299.0,90.0,88.0,63.0
1790200285.6548,28.7614,300.0,90.0,88.0,63.0
1790200285.9049,29.0115,300.0,90.0,88.0,63.0
1790200286.155,29.2616,299.0,90.0,88.0,63.0
1790200286.4051,29.5117,300.0,90.0,88.0,63.0
1790200286.6552,29.7618,300.0,90.0,88.0,63.0
1790200286.9052,30.0118,299.0,89.0,88.0,63.0
1790200287.1553,30.2619,300.0,90.0,88.0,63.0
1790200287.4054,30.512,300.0,90.0,88.0,63.0
1790200287.6555,30.762,299.0,90.0,88.0,63.0
1790200287.9056,31.0121,300.0,90.0,88.0,63.0
1790200288.1556,31.2622,297.0,90.0,88.0,63.0
1790200288.4057,31.5123,300.0,90.0,88.0,63.0
1790200288.6558,31.7624,300.0,90.0,88.0,63.0
1790200288.9059,32.0125,298.0,90.0,88.0,63.0
1790200289.156,32.2626,300.0,90.0,88.0,63.0
1790200289.4061,32.5127,300.0,90.0,88.0,63.0
1790200289.6562,32.7628,299.0,90.0,88.0,63.0
1790200289.9063,33.0128,300.0,90.0,88.0,63.0
1790200290.1563,33.2629,300.0,90.0,88.0,63.0
1790200290.4064,33.513,299.0,89.0,88.0,63.0
1790200290.6565,33.7631,304.0,90.0,88.0,63.0
1790200290.9066,34.0132,291.0,93.0,86.0,63.0
1790200291.1567,34.2633,300.0,92.0,86.0,63.0
1790200291.4068,34.5134,300.0,92.0,86.0,63.0
1790200291.6569,34.7634,299.0,92.0,86.0,63.0
1790200291.907,35.0135,297.0,92.0,86.0,63.0
1790200292.1571,35.2636,300.0,93.0,86.0,63.0
1790200292.4071,35.5137,300.0,93.0,85.0,63.0
1790200292.6572,35.7638,300.0,93.0,84.0,63.0
1790200292.9073,36.0139,301.0,93.0,84.0,63.0
1790200293.1574,36.2639,299.0,93.0,84.0,63.0
1790200293.4075,36.514,294.0,90.0,85.0,63.0
1790200293.6576,36.7641,301.0,90.0,87.0,63.0
1790200293.9077,37.0142,299.0,90.0,88.0,63.0
1790200294.1577,37.2643,300.0,90.0,88.0,63.0
1790200294.4078,37.5144,300.0,90.0,88.0,63.0
1790200294.6579,37.7645,299.0,90.0,88.0,63.0
1790200294.908,38.0145,300.0,90.0,88.0,63.0
1790200295.158,38.2646,299.0,90.0,88.0,63.0
1790200295.4081,38.5147,300.0,90.0,88.0,63.0
1790200295.6582,38.7648,300.0,90.0,88.0,63.0
1790200295.9083,39.0149,299.0,90.0,88.0,63.0
1790200296.1584,39.265,300.0,90.0,88.0,63.0
1790200296.4085,39.515,300.0,89.0,88.0,63.0
1790200296.6586,39.7651,299.0,90.0,88.0,63.0
1790200296.9086,40.0152,300.0,89.0,88.0,63.0
1790200297.1587,40.2653,300.0,89.0,88.0,63.0
1790200297.4088,40.5154,298.0,89.0,88.0,63.0
1790200297.6589,40.7655,300.0,89.0,88.0,63.0
1790200297.909,41.0156,299.0,89.0,88.0,63.0
1790200298.1591,41.2656,300.0,89.0,88.0,63.0
1790200298.4091,41.5157,300.0,89.0,88.0,63.0
1790200298.6592,41.7658,299.0,89.0,88.0,63.0
1790200298.9093,42.0158,300.0,89.0,88.0,63.0
1790200299.1593,42.2659,300.0,89.0,88.0,62.0
1790200299.4094,42.516,299.0,89.0,88.0,63.0
1790200299.6595,42.7661,300.0,89.0,88.0,63.0
1790200299.9096,43.0162,299.0,89.0,88.0,62.0
1790200300.1597,43.2663,299.0,89.0,88.0,62.0
1790200300.4098,43.5164,300.0,89.0,88.0,62.0
1790200300.6599,43.7665,298.0,89.0,88.0,62.0
1790200300.91,44.0165,300.0,89.0,88.0,62.0
1790200301.16,44.2666,300.0,89.0,88.0,62.0
1790200301.4101,44.5167,299.0,89.0,88.0,62.0
1790200301.6602,44.7668,300.0,89.0,88.0,62.0
1790200301.9103,45.0169,299.0,89.0,88.0,62.0
1790200302.1604,45.267,299.0,89.0,88.0,62.0
1790200302.4105,45.5171,300.0,89.0,88.0,62.0
1790200302.6606,45.7672,299.0,89.0,88.0,62.0
1790200302.9107,46.0173,300.0,89.0,88.0,62.0
1790200303.1608,46.2673,300.0,89.0,88.0,62.0
1790200303.4108,46.5174,299.0,89.0,88.0,62.0
1790200303.6609,46.7675,300.0,89.0,88.0,62.0
1790200303.911,47.0176,300.0,89.0,88.0,62.0
1790200304.1611,47.2677,298.0,89.0,88.0,62.0
1790200304.4112,47.5178,300.0,89.0,88.0,62.0
1790200304.6613,47.7679,300.0,89.0,88.0,62.0
1790200304.9114,48.018,299.0,89.0,88.0,62.0
1790200305.1615,48.2681,300.0,89.0,88.0,63.0
1790200305.4115,48.5181,298.0,89.0,88.0,62.0
1790200305.6616,48.7682,300.0,89.0,88.0,62.0
1790200305.9117,49.0183,299.0,89.0,88.0,62.0
1790200306.1618,49.2683,299.0,89.0,88.0,62.0
1790200306.4118,49.5184,300.0,89.0,88.0,63.0
1790200306.6619,49.7685,300.0,89.0,88.0,62.0
1790200306.912,50.0186,299.0,89.0,88.0,63.0
1790200307.1621,50.2687,300.0,89.0,88.0,62.0
1790200307.4122,50.5188,299.0,89.0,88.0,62.0
1790200307.6623,50.7688,299.0,89.0,88.0,62.0
1790200307.9123,51.0189,300.0,89.0,88.0,62.0
1790200308.1624,51.269,299.0,89.0,88.0,62.0
1790200308.4125,51.519,300.0,89.0,88.0,62.0
1790200308.6626,51.7691,300.0,89.0,88.0,62.0
1790200308.9127,52.0192,299.0,89.0,88.0,62.0
1790200309.1627,52.2693,300.0,89.0,88.0,62.0
1790200309.4128,52.5194,300.0,89.0,88.0,62.0
