timestamp,elapsed_s,power_w,hotspot_temp_c,mem_temp_c,edge_temp_c
1790199946.94,0.0001,293.0,79.0,54.0,47.0
1790199947.1901,0.2502,41.0,55.0,52.0,47.0
1790199947.4402,0.5002,25.0,52.0,50.0,46.0
1790199947.6903,0.7503,296.0,71.0,52.0,46.0
1790199947.9404,1.0004,303.0,79.0,54.0,47.0
1790199948.1904,1.2505,299.0,79.0,54.0,48.0
1790199948.4405,1.5006,300.0,79.0,56.0,48.0
1790199948.6907,1.7507,289.0,79.0,56.0,48.0
1790199948.9407,2.0008,310.0,80.0,56.0,48.0
1790199949.1908,2.2509,299.0,80.0,56.0,48.0
1790199949.4409,2.501,299.0,81.0,56.0,48.0
1790199949.691,2.751,299.0,81.0,56.0,49.0
1790199949.941,3.0011,284.0,80.0,56.0,49.0
1790199950.1911,3.2512,311.0,81.0,56.0,49.0
1790199950.4412,3.5013,300.0,81.0,56.0,49.0
1790199950.6913,3.7514,301.0,81.0,57.0,49.0
1790199950.9414,4.0015,299.0,82.0,57.0,49.0
1790199951.1915,4.2516,290.0,81.0,57.0,50.0
1790199951.4416,4.5016,307.0,83.0,58.0,50.0
1790199951.6916,4.7517,299.0,82.0,58.0,50.0
1790199951.9417,5.0018,299.0,82.0,58.0,50.0
1790199952.1918,5.2519,299.0,82.0,58.0,50.0
1790199952.4419,5.502,297.0,82.0,58.0,50.0
1790199952.692,5.752,303.0,83.0,58.0,50.0
1790199952.942,6.0021,300.0,83.0,58.0,51.0
1790199953.1921,6.2522,299.0,83.0,59.0,51.0
1790199953.4422,6.5023,300.0,83.0,60.0,51.0
1790199953.6923,6.7524,295.0,82.0,60.0,51.0
1790199953.9424,7.0025,302.0,84.0,60.0,51.0
1790199954.1925,7.2526,300.0,83.0,60.0,51.0
1790199954.4426,7.5026,299.0,84.0,60.0,51.0
1790199954.6927,7.7527,299.0,84.0,60.0,52.0
1790199954.9427,8.0028,294.0,83.0,60.0,52.0
1790199955.1928,8.2529,303.0,85.0,60.0,52.0
1790199955.4429,8.503,300.0,84.0,60.0,52.0
1790199955.693,8.753,300.0,84.0,60.0,52.0
1790199955.9431,9.0031,299.0,84.0,60.0,52.0
1790199956.1932,9.2532,298.0,84.0,60.0,52.0
1790199956.4433,9.5033,301.0,85.0,61.0,52.0
1790199956.6934,9.7534,299.0,85.0,61.0,52.0
1790199956.9434,10.0035,299.0,85.0,62.0,52.0
1790199957.1935,10.2536,298.0,85.0,62.0,53.0
1790199957.4436,10.5037,300.0,85.0,62.0,53.0
1790199957.6937,10.7538,297.0,85.0,62.0,53.0
1790199957.9438,11.0038,299.0,85.0,62.0,53.0
1790199958.1938,11.2539,299.0,85.0,62.0,53.0
1790199958.4439,11.504,300.0,85.0,62.0,53.0
1790199958.694,11.7541,300.0,85.0,62.0,53.0
1790199958.9441,12.0042,298.0,86.0,62.0,53.0
1790199959.1942,12.2542,300.0,86.0,62.0,53.0
1790199959.4443,12.5043,300.0,86.0,62.0,54.0
1790199959.6944,12.7544,299.0,86.0,62.0,54.0
1790199959.9445,13.0045,298.0,85.0,63.0,54.0
1790199960.1945,13.2546,298.0,86.0,63.0,54.0
1790199960.4446,13.5047,299.0,86.0,64.0,54.0
1790199960.6947,13.7548,299.0,86.0,63.0,54.0
1790199960.9448,14.0049,293.0,86.0,64.0,54.0
1790199961.1949,14.255,301.0,86.0,64.0,54.0
1790199961.445,14.505,297.0,86.0,64.0,54.0
1790199961.695,14.7551,300.0,86.0,64.0,54.0
1790199961.9451,15.0052,301.0,86.0,64.0,54.0
1790199962.1952,15.2553,299.0,86.0,64.0,55.0
1790199962.4453,15.5054,298.0,86.0,64.0,55.0
1790199962.6954,15.7554,297.0,87.0,64.0,55.0
1790199962.9454,16.0055,300.0,87.0,64.0,55.0
1790199963.1955,16.2556,299.0,87.0,64.0,55.0
1790199963.4456,16.5057,299.0,87.0,64.0,55.0
1790199963.6957,16.7557,298.0,87.0,64.0,55.0
1790199963.9457,17.0058,298.0,87.0,64.0,55.0
1790199964.1958,17.2559,299.0,87.0,64.0,55.0
1790199964.4459,17.5059,299.0,87.0,64.0,55.0
1790199964.696,17.756,299.0,87.0,65.0,55.0
1790199964.946,18.0061,302.0,87.0,65.0,55.0
1790199965.1961,18.2562,299.0,87.0,64.0,55.0
1790199965.4463,18.5063,300.0,87.0,65.0,55.0
1790199965.6964,18.7564,299.0,87.0,66.0,55.0
1790199965.9464,19.0065,300.0,87.0,66.0,55.0
