"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipGetDeviceCount",3,408707968,136235989.333333,47.51,90,408707207,235966996.299591
"hipMemcpyWithStream",2,274118664,137059332.000000,31.86,1098061,273020603,192278273.405684
"hipLaunchKernel",2,119058920,59529460.000000,13.84,47070149,71988771,17620126.594024
"hipModuleLoadDataEx",3,56231265,18743755.000000,6.54,16272700,21554041,2656962.352592
"hipModuleLaunchKernel",153,1292793,8449.627451,0.1503,5187,46835,6901.719580
"hipFree",3,274225,91408.333333,0.0319,19907,134424,62346.697798
"hipMalloc",3,162011,54003.666667,0.0188,43589,66881,11839.673194
"hipGetDevice",1262,145258,115.101426,0.0169,80,4116,230.341179
"hipPointerGetAttribute",510,95261,186.786275,0.0111,110,9153,482.393386
"hipGetProcAddress",11,62546,5686.000000,7.270e-03,390,52081,15408.304988
"hipDeviceSynchronize",2,42086,21043.000000,4.892e-03,12246,29840,12440.836708
"hipGetDevicePropertiesR0600",10,41204,4120.400000,4.789e-03,590,8522,2366.043401
"hipStreamIsCapturing",7,21651,3093.000000,2.517e-03,151,11736,4070.003563
"hipEventRecordWithFlags",2,21419,10709.500000,2.490e-03,8101,13318,3688.976077
"hipModuleGetFunction",3,13609,4536.333333,1.582e-03,3755,5588,945.929349
"hipDevicePrimaryCtxGetState",7,7281,1040.142857,8.463e-04,100,2384,1018.285721
"hipStreamGetCaptureInfo",4,5387,1346.750000,6.262e-04,100,1933,842.111384
"hipFuncGetAttribute",9,4796,532.888889,5.575e-04,110,1432,620.021662
"hipGetLastError",6,4747,791.166667,5.518e-04,80,1593,681.816226
"hipDriverGetVersion",1,4056,4056.000000,4.714e-04,4056,4056,0.00000000e+00
"hipEventCreateWithFlags",2,3354,1677.000000,3.899e-04,691,2663,1394.414572
"hipEventDestroy",2,3124,1562.000000,3.631e-04,180,2944,1954.443143
"hipEventElapsedTime",1,3054,3054.000000,3.550e-04,3054,3054,0.00000000e+00
"hipEventQuery",2,2743,1371.500000,3.188e-04,370,2373,1416.334883
"hipDeviceGetStreamPriorityRange",1,1362,1362.000000,1.583e-04,1362,1362,0.00000000e+00
