-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  execute_context_3(24)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     397.065ms        91.70%     397.065ms     198.533ms             2  
                   execute_context_0(0)_generation_4(4)         0.00%       0.000us         0.00%       0.000us       0.000us     361.975ms        83.59%     361.975ms      12.928ms            28  
                        ## Call CompiledFxGraph None ##         0.00%       0.000us         0.00%       0.000us       0.000us     263.475ms        60.84%     263.475ms       2.027ms           130  
_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64...         0.00%       0.000us         0.00%       0.000us       0.000us     171.899ms        39.70%     171.899ms      22.383us          7680  
                   execute_context_1(8)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      98.029ms        22.64%      98.029ms      49.014ms             2  
_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_8_BLOCK_SIZ...         0.00%       0.000us         0.00%       0.000us       0.000us      38.444ms         8.88%      38.444ms       3.952us          9728  
_gemm_afp4wfp4_reduce_kernel_BLOCK_SIZE_M_16_BLOCK_S...         0.00%       0.000us         0.00%       0.000us       0.000us      30.071ms         6.94%      30.071ms       3.915us          7680  
                                      _rocm_C::wvSplitK         0.03%     225.071us         0.07%     590.055us      17.355us      25.381ms         5.86%      25.381ms     746.498us            34  
void wvSplitK_hf_sml_<__hip_bfloat16, 64, 4, 16, 8, ...         0.00%       0.000us         0.00%       0.000us       0.000us      22.462ms         5.19%      22.462ms     748.718us            30  
                   execute_context_0(0)_generation_3(3)         0.00%       0.000us         0.00%       0.000us       0.000us      22.353ms         5.16%      22.353ms      11.177ms             2  
_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64...         0.00%       0.000us         0.00%       0.000us       0.000us      21.596ms         4.99%      21.596ms      10.545us          2048  
                                  aiter::gemm_afp4wfp4_         3.09%      27.465ms         3.93%      34.888ms      57.381us      19.195ms         4.43%      19.195ms      31.571us           608  
_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_32_BLOCK_SIZE_N_3...         0.00%       0.000us         0.00%       0.000us       0.000us      19.195ms         4.43%      19.195ms      31.571us           608  
fused_recurrent_gated_delta_rule_packed_decode_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      17.582ms         4.06%      17.582ms      12.210us          1440  
                            ChunkGatedDeltaRuleFunction         6.54%      58.154ms         8.91%      79.154ms     412.261us       8.925ms         2.06%       9.307ms      48.473us           192  
triton_red_fused__to_copy_add_fused_add_rms_norm_3.k...         0.00%       0.000us         0.00%       0.000us       0.000us       8.343ms         1.93%       8.343ms       3.834us          2176  
