timestamp,elapsed_s,power_w,hotspot_temp_c,mem_temp_c,edge_temp_c
1790192623.6547,0.0001,18.0,59.0,68.0,56.0
1790192623.9048,0.2502,18.0,59.0,68.0,56.0
1790192624.1549,0.5003,18.0,59.0,68.0,56.0
1790192624.405,0.7504,18.0,59.0,68.0,55.0
1790192624.6551,1.0005,18.0,59.0,66.0,55.0
1790192624.9052,1.2506,18.0,58.0,66.0,55.0
1790192625.1553,1.5007,18.0,58.0,66.0,55.0
1790192625.4054,1.7507,18.0,58.0,66.0,55.0
1790192625.6554,2.0008,18.0,58.0,66.0,55.0
1790192625.9055,2.2509,18.0,58.0,66.0,54.0
1790192626.1572,2.5025,19.0,57.0,66.0,54.0
1790192626.4072,2.7526,18.0,57.0,66.0,54.0
1790192626.6573,3.0027,19.0,57.0,64.0,54.0
1790192626.9074,3.2527,18.0,57.0,64.0,54.0
1790192627.1574,3.5028,19.0,57.0,64.0,53.0
1790192627.4075,3.7528,17.0,56.0,64.0,53.0
1790192627.6576,4.0029,17.0,56.0,64.0,53.0
1790192627.9077,4.253,17.0,56.0,64.0,53.0
1790192628.1577,4.5031,17.0,56.0,64.0,53.0
1790192628.4078,4.7532,17.0,56.0,64.0,53.0
1790192628.6579,5.0032,17.0,56.0,64.0,52.0
1790192628.9079,5.2533,17.0,55.0,64.0,52.0
1790192629.158,5.5034,17.0,55.0,64.0,52.0
1790192629.4081,5.7534,17.0,55.0,63.0,52.0
1790192629.6581,6.0035,19.0,55.0,62.0,52.0
1790192629.9082,6.2535,17.0,55.0,62.0,52.0
1790192630.1582,6.5036,17.0,54.0,62.0,52.0
1790192630.4083,6.7537,17.0,54.0,62.0,51.0
1790192630.6584,7.0037,17.0,54.0,62.0,51.0
1790192630.9085,7.2538,17.0,54.0,62.0,51.0
1790192631.1585,7.5039,17.0,54.0,62.0,51.0
1790192631.4086,7.754,17.0,54.0,62.0,51.0
1790192631.6587,8.004,17.0,54.0,62.0,51.0
1790192631.9087,8.2541,17.0,54.0,62.0,51.0
1790192632.1588,8.5042,17.0,54.0,62.0,50.0
1790192632.4093,8.7546,17.0,53.0,62.0,50.0
1790192632.6593,9.0047,17.0,53.0,61.0,50.0
1790192632.9094,9.2548,17.0,53.0,61.0,50.0
1790192633.1595,9.5048,17.0,53.0,60.0,50.0
1790192633.4095,9.7549,17.0,53.0,60.0,50.0
1790192633.6596,10.0049,17.0,53.0,60.0,50.0
1790192633.9096,10.255,16.0,52.0,60.0,50.0
1790192634.1597,10.5051,16.0,52.0,60.0,50.0
1790192634.4098,10.7551,17.0,52.0,60.0,49.0
1790192634.6605,11.0059,16.0,52.0,60.0,49.0
1790192634.9106,11.256,17.0,52.0,60.0,49.0
1790192635.1607,11.5061,17.0,52.0,60.0,49.0
1790192635.4108,11.7561,16.0,52.0,60.0,49.0
1790192635.6609,12.0062,16.0,52.0,60.0,49.0
1790192635.911,12.2563,16.0,51.0,60.0,49.0
1790192636.161,12.5064,16.0,51.0,58.0,49.0
1790192636.4111,12.7564,16.0,51.0,58.0,49.0
1790192636.6611,13.0065,16.0,51.0,58.0,48.0
1790192636.9113,13.2566,16.0,51.0,58.0,48.0
1790192637.1613,13.5066,16.0,51.0,58.0,48.0
1790192637.4114,13.7567,16.0,51.0,58.0,48.0
1790192637.6614,14.0068,16.0,51.0,58.0,48.0
1790192637.9115,14.2569,16.0,51.0,58.0,48.0
1790192638.1616,14.507,16.0,50.0,58.0,48.0
1790192638.4117,14.757,16.0,50.0,58.0,48.0
1790192638.6618,15.0071,16.0,50.0,58.0,48.0
